        PARENT     |   SUGGESTED
       ("ORIGINAL", "26M-bU3wMBI"),
        PARENT     |   SUGGESTED
12) ("CCRX91F3FZc", "O0EShM655h8"),
    ("CCRX91F3FZc", "T4dhIMVtPVE"),
    ("CCRX91F3FZc", "OirsSL5rsVA"),
    ("CCRX91F3FZc", "wOGD9zfqEkk"),
    ("CCRX91F3FZc", "FcMxS0cR6_o"),
    ("CCRX91F3FZc", "4yYjeNxlu6U"),
    ("CCRX91F3FZc", "L5fXbIsRR7A"),
    ("CCRX91F3FZc", "Cgl5MZ3TduY"),
    ("CCRX91F3FZc", "4BwHMnt_x04"),
    ("CCRX91F3FZc", "OTYaN-FQtJQ"),

13) ("O0EShM655h8", "6QCwbSpAHRk"),
    ("O0EShM655h8", "vsDKxCzxKYo"),
    ("O0EShM655h8", "tIArdT4oSnk"),
    ("O0EShM655h8", "QhbxbMN99HU"),
    ("O0EShM655h8", "4yYjeNxlu6U"),
    ("O0EShM655h8", "D06DNx3xF0A"),
    ("O0EShM655h8", "vxiuHlKwsnM"),
    ("O0EShM655h8", "PrYUGwRtHPQ"),
    ("O0EShM655h8", "9DGbejwKObU"),
    ("O0EShM655h8", "hWk7UKIunD0"),

14) ("T4dhIMVtPVE", "EALkIUCExW0"),
    ("T4dhIMVtPVE", "khqe2J7HLBU"),
    ("T4dhIMVtPVE", "3-XLMX7DW74"),
    ("T4dhIMVtPVE", "MH2JHRBQ6ng"),
    ("T4dhIMVtPVE", "hBiHRaUMdLM"),
    ("T4dhIMVtPVE", "L5fXbIsRR7A"),
    ("T4dhIMVtPVE", "X74MRO70kMg"),
    ("T4dhIMVtPVE", "AMoEuFPiZqQ"),
    ("T4dhIMVtPVE", "sSk8ltE6Nts"),
    ("T4dhIMVtPVE", "I7t4hn7uJvQ"),

15) ("OirsSL5rsVA", "3yLoHdK3Xoc"),
    ("OirsSL5rsVA", "ysQ-dMA_qkk"),
    ("OirsSL5rsVA", "QudVcBFXAo8"),
    ("OirsSL5rsVA", "5xjLGGUVgZ0"),
    ("OirsSL5rsVA", "EyFBIavy-pQ"),
    ("OirsSL5rsVA", "MsgwfA7KWno"),
    ("OirsSL5rsVA", "aGuhEBFoOjA"),
    ("OirsSL5rsVA", "hw6y5AaOWss"),
    ("OirsSL5rsVA", "ThIZFp_5dhA"),
    ("OirsSL5rsVA", "Mle2qg_OXp4"),

16) ("wOGD9zfqEkk", "IoZri9hq7z4"),
    ("wOGD9zfqEkk", "UsZHQjCiKIA"),
    ("wOGD9zfqEkk", "FTi9WYR4Cds"),
    ("wOGD9zfqEkk", "P_6my53IlxY"),
    ("wOGD9zfqEkk", "WvkSO5ne7fc"),
    ("wOGD9zfqEkk", "jgyTwWtvMdE"),
    ("wOGD9zfqEkk", "6R0tDz8rad4"),
    ("wOGD9zfqEkk", "enevSuDgf3U"),
    ("wOGD9zfqEkk", "CvPtDd3B3PE"),
    ("wOGD9zfqEkk", "s1ax8Tx_Jz0"),

17) ("FcMxS0cR6_o", "U7TCIEmotdI"),
    ("FcMxS0cR6_o", "zCi9oHfS83A"),
    ("FcMxS0cR6_o", "iZRwPq_MXJ0"),
    ("FcMxS0cR6_o", "SYJdHeXlFHE"),
    ("FcMxS0cR6_o", "kkd96ca-U2Q"),
    ("FcMxS0cR6_o", "zspxDn4-wow"),
    ("FcMxS0cR6_o", "z-TJAYqgOgU"),
    ("FcMxS0cR6_o", "bjhBJL9CUyU"),
    ("FcMxS0cR6_o", "cIY95KCnnNk"),
    ("FcMxS0cR6_o", "mmL4kosieGs"),

18) ("4yYjeNxlu6U", "0eV9R3pVNcg"),
    ("4yYjeNxlu6U", "bgyrWLwvbug"),
    ("4yYjeNxlu6U", "FL0qnz55JH4"),
    ("4yYjeNxlu6U", "oFRem2oUNYI"),
    ("4yYjeNxlu6U", "L5fXbIsRR7A"),
    ("4yYjeNxlu6U", "PUaBbDXCCxM"),
    ("4yYjeNxlu6U", "nC-2zokoVGw"),
    ("4yYjeNxlu6U", "oHjYH9QLMfA"),
    ("4yYjeNxlu6U", "YfWpRGYq_14"),
    ("4yYjeNxlu6U", "4BwHMnt_x04"),

19) ("L5fXbIsRR7A", "9RurIn0OTL8"),
    ("L5fXbIsRR7A", "GZdbv8x65Yo"),
    ("L5fXbIsRR7A", "-3Z8x9DDAT4"),
    ("L5fXbIsRR7A", "Rfir7iQOE-c"),
    ("L5fXbIsRR7A", "E8IuWQARv3E"),
    ("L5fXbIsRR7A", "4I98SqgIETM"),
    ("L5fXbIsRR7A", "VKkcdqYT6ss"),
    ("L5fXbIsRR7A", "YniirFla084"),
    ("L5fXbIsRR7A", "Up4vDwBCpo4"),
    ("L5fXbIsRR7A", "OOC74HDo5GY"),

20) ("Cgl5MZ3TduY", "L5fXbIsRR7A"),
    ("Cgl5MZ3TduY", "KkDYf37nu_c"),
    ("Cgl5MZ3TduY", "WSFAOuvnGN4"),
    ("Cgl5MZ3TduY", "YfWpRGYq_14"),
    ("Cgl5MZ3TduY", "_He5Bz9cHLY"),
    ("Cgl5MZ3TduY", "fMPTSiOuNpA"),
    ("Cgl5MZ3TduY", "vzbkGCLC-H8"),
    ("Cgl5MZ3TduY", "lcLpV8vYUg4"),
    ("Cgl5MZ3TduY", "L1vx85XRaEw"),
    ("Cgl5MZ3TduY", "UzyTl7Uu8GQ"),

21) ("4BwHMnt_x04", "FL0qnz55JH4"),
    ("4BwHMnt_x04", "MdbfM6Lnsmo"),
    ("4BwHMnt_x04", "0eV9R3pVNcg"),
    ("4BwHMnt_x04", "AcA6wKibT18"),
    ("4BwHMnt_x04", "S68M4KX_6w8"),
    ("4BwHMnt_x04", "3yLoHdK3Xoc"),
    ("4BwHMnt_x04", "UsZHQjCiKIA"),
    ("4BwHMnt_x04", "UXNEW7jOSsY"),
    ("4BwHMnt_x04", "oFRem2oUNYI"),
    ("4BwHMnt_x04", "4yYjeNxlu6U"),

22) ("OTYaN-FQtJQ", "b6a46Q8V_9c"),
    ("OTYaN-FQtJQ", "WeF8fnRA_10"),
    ("OTYaN-FQtJQ", "qRRfksZxLyc"),
    ("OTYaN-FQtJQ", "ymvjfu_Hm_8"),
    ("OTYaN-FQtJQ", "VlDTMIgGbRo"),
    ("OTYaN-FQtJQ", "-z14nWFU7VU"),
    ("OTYaN-FQtJQ", "-5k1ceo-ffE"),
    ("OTYaN-FQtJQ", "_6cadjbwYe0"),
    ("OTYaN-FQtJQ", "CWvsAtJtsWg"),
    ("OTYaN-FQtJQ", "fIaUicQod2g"),

March 14, 2025 3rd large batch insert of videos and top 10 side-bar suggested
Beginning with 2st suggested video of 2nd parent, and its 10 suggested
       # PARENT    |   SUGGESTED
23) ("BQlPjnejpps", "Tg95OJbHmLI"),
    ("BQlPjnejpps", "kpCPUJdFYPE"),
    ("BQlPjnejpps", "ps3Wyw7Pd2Q"),
    ("BQlPjnejpps", "b6a46Q8V_9c"),
    ("BQlPjnejpps", "0xihXAzral0"),
    ("BQlPjnejpps", "FL0qnz55JH4"),
    ("BQlPjnejpps", "0eV9R3pVNcg"),
    ("BQlPjnejpps", "KQtZdEZFJmw"),
    ("BQlPjnejpps", "X74MRO70kMg"),
    ("BQlPjnejpps", "EALkIUCExW0"),

24) ("Tg95OJbHmLI", "ccVLD8Lh0BQ"),
    ("Tg95OJbHmLI", "T-HWw2pybfU"),
    ("Tg95OJbHmLI", "S68M4KX_6w8"),
    ("Tg95OJbHmLI", "NVH79ehGfY0"),
    ("Tg95OJbHmLI", "PtEa-Ne_CJ0"),
    ("Tg95OJbHmLI", "ZeLe1Ad47P4"),
    ("Tg95OJbHmLI", "WeF8fnRA_10"),
    ("Tg95OJbHmLI", "obLZ-yctYok"),
    ("Tg95OJbHmLI", "khqe2J7HLBU"),
    ("Tg95OJbHmLI", "OoOMHj07gIY"),

25) ("kpCPUJdFYPE", "z2u6-0lBKHQ"),
    ("kpCPUJdFYPE", "Mc4t66r54dU"),
    ("kpCPUJdFYPE", "NVH79ehGfY0"),
    ("kpCPUJdFYPE", "uEk_pc0xVYc"),
    ("kpCPUJdFYPE", "M9TK3yjktk8"),
    ("kpCPUJdFYPE", "Bb1KNFEOFaA"),
    ("kpCPUJdFYPE", "vry-jbymOIQ"),
    ("kpCPUJdFYPE", "Fr48Wnw0uew"),
    ("kpCPUJdFYPE", "BCFH2n-Op_I"),
    ("kpCPUJdFYPE", "vitX5zzaV2s"),

26) ("ps3Wyw7Pd2Q", "zZcXdcIPlyU"),
    ("ps3Wyw7Pd2Q", "NVH79ehGfY0"),
    ("ps3Wyw7Pd2Q", "xPEV1XTy_uk"),
    ("ps3Wyw7Pd2Q", "mmL4kosieGs"),
    ("ps3Wyw7Pd2Q", "ZeLe1Ad47P4"),
    ("ps3Wyw7Pd2Q", "svQOVq1h_8M"),
    ("ps3Wyw7Pd2Q", "cIY95KCnnNk"),
    ("ps3Wyw7Pd2Q", "ccVLD8Lh0BQ"),
    ("ps3Wyw7Pd2Q", "3lar1hvS-TU"),
    ("ps3Wyw7Pd2Q", "ZFIDK2E3-00"),

27) ("b6a46Q8V_9c", "khqe2J7HLBU"),
    ("b6a46Q8V_9c", "FcMxS0cR6_o"),
    ("b6a46Q8V_9c", "NVH79ehGfY0"),
    ("b6a46Q8V_9c", "obLZ-yctYok"),
    ("b6a46Q8V_9c", "zspxDn4-wow"),
    ("b6a46Q8V_9c", "SqJSGjRH7-s"),
    ("b6a46Q8V_9c", "biYDckvtLYk"),
    ("b6a46Q8V_9c", "IZW_aYlMYzU"),
    ("b6a46Q8V_9c", "X74MRO70kMg"),
    ("b6a46Q8V_9c", "BFlYwm9khMo"),

28) ("0xihXAzral0", "gyC8TNm4kHY"),
    ("0xihXAzral0", "mn8oZhcm3QA"),
    ("0xihXAzral0", "WeF8fnRA_10"),
    ("0xihXAzral0", "NVH79ehGfY0"),
    ("0xihXAzral0", "obLZ-yctYok"),
    ("0xihXAzral0", "Sw4J-cfYRHk"),
    ("0xihXAzral0", "L5fXbIsRR7A"),
    ("0xihXAzral0", "d2Uo33Ijh6M"),
    ("0xihXAzral0", "mmL4kosieGs"),
    ("0xihXAzral0", "biYDckvtLYk"),

29) ("FL0qnz55JH4", "kyzdN_TRktQ"),
    ("FL0qnz55JH4", "Sw4J-cfYRHk"),
    ("FL0qnz55JH4", "1Da-aSbY4Uw"),
    ("FL0qnz55JH4", "vBlxvLQax_M"),
    ("FL0qnz55JH4", "YniirFla084"),
    ("FL0qnz55JH4", "MN_JP4gyBNI"),
    ("FL0qnz55JH4", "X74MRO70kMg"),
    ("FL0qnz55JH4", "mIYzp5rcTvU"),
    ("FL0qnz55JH4", "fFjfTB3If4Q"),
    ("FL0qnz55JH4", "hZtnY9Air60"),

30) ("0eV9R3pVNcg", "SqJSGjRH7-s"),
    ("0eV9R3pVNcg", "X74MRO70kMg"),
    ("0eV9R3pVNcg", "GZdbv8x65Yo"),
    ("0eV9R3pVNcg", "UsZHQjCiKIA"),
    ("0eV9R3pVNcg", "Sw4J-cfYRHk"),
    ("0eV9R3pVNcg", "CCRX91F3FZc"),
    ("0eV9R3pVNcg", "d2Uo33Ijh6M"),
    ("0eV9R3pVNcg", "kpCPUJdFYPE"),
    ("0eV9R3pVNcg", "KQtZdEZFJmw"),
    ("0eV9R3pVNcg", "7RB3nkFEZiQ"),

40) ("KQtZdEZFJmw", "-235Rf7ItaY"),
    ("KQtZdEZFJmw", "OwiCxBP9jBs"),
    ("KQtZdEZFJmw", "MdbfM6Lnsmo"),
    ("KQtZdEZFJmw", "NVH79ehGfY0"),
    ("KQtZdEZFJmw", "L5fXbIsRR7A"),
    ("KQtZdEZFJmw", "nC-2zokoVGw"),
    ("KQtZdEZFJmw", "S68M4KX_6w8"),
    ("KQtZdEZFJmw", "opv4gTmAOG4"),
    ("KQtZdEZFJmw", "svQOVq1h_8M"),
    ("KQtZdEZFJmw", "UsZHQjCiKIA"),

41) ("X74MRO70kMg", "kyzdN_TRktQ"),
    ("X74MRO70kMg", "NVH79ehGfY0"),
    ("X74MRO70kMg", "Ye-VZFF0qLE"),
    ("X74MRO70kMg", "h0HjktaeEpA"),
    ("X74MRO70kMg", "L5fXbIsRR7A"),
    ("X74MRO70kMg", "mmL4kosieGs"),
    ("X74MRO70kMg", "qRRfksZxLyc"),
    ("X74MRO70kMg", "svQOVq1h_8M"),
    ("X74MRO70kMg", "biYDckvtLYk"),
    ("X74MRO70kMg", "VlDTMIgGbRo"),

42) ("EALkIUCExW0", "kyzdN_TRktQ"),
    ("EALkIUCExW0", "Sw4J-cfYRHk"),
    ("EALkIUCExW0", "A59HbF3ofx4"),
    ("EALkIUCExW0", "4yYjeNxlu6U"),
    ("EALkIUCExW0", "qui_P7672OA"),
    ("EALkIUCExW0", "SqJSGjRH7-s"),
    ("EALkIUCExW0", "EpsipbKC6gE"),
    ("EALkIUCExW0", "zZcXdcIPlyU"),
    ("EALkIUCExW0", "Iua3DINVtKQ"),
    ("EALkIUCExW0", "d2Uo33Ijh6M"),

March 14, 2025 Observation made of repeated (>= 3 times) videos : 
    suggested ID | occurences
    NVH79ehGfY0	    7
    L5fXbIsRR7A	    7
    svQOVq1h_8M	    5
    X74MRO70kMg	    5
    mmL4kosieGs	    4
    lxjVaOE9dE8	    4
    kpCPUJdFYPE	    4
    UsZHQjCiKIA	    4
    Sw4J-cfYRHk	    4
    OwiCxBP9jBs	    4
    4yYjeNxlu6U	    4
    0eV9R3pVNcg	    4
    yLEkmfYg5bM	    3
    obLZ-yctYok	    3
    kyzdN_TRktQ	    3
    khqe2J7HLBU	    3
    d2Uo33Ijh6M	    3
    biYDckvtLYk	    3
    _8nAljpyglE	    3
    WeF8fnRA_10	    3
    T-HWw2pybfU	    3
    SqJSGjRH7-s	    3
    S68M4KX_6w8	    3
    FL0qnz55JH4	    3
    AnCXEq76FcM	    3

March 18, 2025
Prior to insert: COMMENTS: 2194, MANUAL_VIDEO_LINKS: 328, VIDEOS: 227, VIDEO_FLAG_COUNT: 101
4th large batch insert of randomly choosen videos from the existing 
video_id's and top 10 side-bar suggested
       # PARENT    |   SUGGESTED
43) ("Mc4t66r54dU", "9RkeppfNvP0"),
    ("Mc4t66r54dU", "CAfVvuDyVVw"),
    ("Mc4t66r54dU", "QbNTPbHMYbA"),
    ("Mc4t66r54dU", "7__r4FVj-EI"),
    ("Mc4t66r54dU", "X1S05ZClQj4"),
    ("Mc4t66r54dU", "vK6fALsenmw"),
    ("Mc4t66r54dU", "Z0Hfh5m0_vw"),
    ("Mc4t66r54dU", "ySLnOdQDa-Y"),
    ("Mc4t66r54dU", "0CIa07W6GZM"),
    ("Mc4t66r54dU", "wDpb6g4xmfE"),

44) ("Iua3DINVtKQ", "XcbWiHIgiaY"),
    ("Iua3DINVtKQ", "yLABHioTidI"),
    ("Iua3DINVtKQ", "dTqvS83zT7k"),
    ("Iua3DINVtKQ", "ESuPsA-Qlmo"),
    ("Iua3DINVtKQ", "we_amjmV2Lw"),
    ("Iua3DINVtKQ", "dArvdM2-mfE"),
    ("Iua3DINVtKQ", "JxDyKK9sa84"),
    ("Iua3DINVtKQ", "Vw_8TMlZ3rk"),
    ("Iua3DINVtKQ", "xrISRoRuJXU"),
    ("Iua3DINVtKQ", "6Od6Z86X1Ik"),

45) ("fFjfTB3If4Q", "PzugDMRM9Jc"),
    ("fFjfTB3If4Q", "8efjL9wTlAs"),
    ("fFjfTB3If4Q", "kl1EIn2O09A"),
    ("fFjfTB3If4Q", "p8-_DJd1Ii8"),
    ("fFjfTB3If4Q", "eROMPcuEVao"),
    ("fFjfTB3If4Q", "no_oAmo5hIQ"),
    ("fFjfTB3If4Q", "YhkkiXArOn8"),
    ("fFjfTB3If4Q", "e7QG9vuJ75g"),
    ("fFjfTB3If4Q", "LqelpONZvpw"),
    ("fFjfTB3If4Q", "46XaJvIxPeY"),

46) ("-dMFUM0mU10", "jtqXrhX8_DU"),
    ("-dMFUM0mU10", "J5HVis7SmP4"),
    ("-dMFUM0mU10", "-NigyzBSRCM"),
    ("-dMFUM0mU10", "conCt1Ls5zM"),
    ("-dMFUM0mU10", "Ip0XlEmJafk"),
    ("-dMFUM0mU10", "eog1iZO9TLU"),
    ("-dMFUM0mU10", "HrqH-oESxCA"),
    ("-dMFUM0mU10", "6KJEIVyy40g"),
    ("-dMFUM0mU10", "YISnxMg1nNM"),
    ("-dMFUM0mU10", "ysQ-dMA_qkk"),

47) ("G6HL0WyBDMM", "JX-yUUcJM2E"),
    ("G6HL0WyBDMM", "89jvYGjAdrY"),
    ("G6HL0WyBDMM", "iQI2EMMeTUQ"),
    ("G6HL0WyBDMM", "WF5lRpUJyAg"),
    ("G6HL0WyBDMM", "Z9Wv3vx8kEc"),
    ("G6HL0WyBDMM", "0dO28fHJ-q4"),
    ("G6HL0WyBDMM", "2-YjvEdGlfE"),
    ("G6HL0WyBDMM", "WkWORopX26o"),
    ("G6HL0WyBDMM", "KaiHdIKfSpk"),
    ("G6HL0WyBDMM", "MEi7WlKb4Js"),

48) ("h0HjktaeEpA", "Ho1AIq4T5Gw"),
    ("h0HjktaeEpA", "zpTOtt9gOE8"),
    ("h0HjktaeEpA", "Bkj9eA77WLU"),
    ("h0HjktaeEpA", "KGBGXZTQ_KI"),
    ("h0HjktaeEpA", "h5Zwg3Ag-bE"),
    ("h0HjktaeEpA", "eiQZ0yDKnnA"),
    ("h0HjktaeEpA", "eUQZcXrciRA"),
    ("h0HjktaeEpA", "78cX0yLJPMw"),
    ("h0HjktaeEpA", "V56BwknF7Z8"),
    ("h0HjktaeEpA", "kU2pSzKkfOk"),

49) ("mn8oZhcm3QA", "wQVoHQbMK44"),
    ("mn8oZhcm3QA", "AQNRkkC_oYA"),
    ("mn8oZhcm3QA", "hbNVADzSA3s"),
    ("mn8oZhcm3QA", "IPn1VxluCMg"),
    ("mn8oZhcm3QA", "q-KhCik_4G4"),
    ("mn8oZhcm3QA", "YwN3W2fYz-E"),
    ("mn8oZhcm3QA", "nlWwwH5Zk6k"),
    ("mn8oZhcm3QA", "3LDe0ZA71Is"),
    ("mn8oZhcm3QA", "o3MLLCYii4Q"),
    ("mn8oZhcm3QA", "ZvbV73U3mK0"),

50) ("3lar1hvS-TU", "VuBpiii1WBw"),
    ("3lar1hvS-TU", "d2Uo33Ijh6M"),
    ("3lar1hvS-TU", "5z2lPpj3OTQ"),
    ("3lar1hvS-TU", "U7TCIEmotdI"),
    ("3lar1hvS-TU", "hBiHRaUMdLM"),
    ("3lar1hvS-TU", "U9upz_M5nZ4"),
    ("3lar1hvS-TU", "CcgvDfhvN5M"),
    ("3lar1hvS-TU", "uxIpQnka72M"),
    ("3lar1hvS-TU", "-u0577DmPrA"),
    ("3lar1hvS-TU", "JE5TdcST0LI"),

51) ("4I98SqgIETM", "6knAoUvaIRw"),
    ("4I98SqgIETM", "OHNyXOAxRo8"),
    ("4I98SqgIETM", "FywVt7V8xik"),
    ("4I98SqgIETM", "OQo5QURSxUc"),
    ("4I98SqgIETM", "nGgpNjxYOiA"),
    ("4I98SqgIETM", "6g17cJ1FYcw"),
    ("4I98SqgIETM", "Nn_L0B9B6UM"),
    ("4I98SqgIETM", "PWLlMlGyrg4"),
    ("4I98SqgIETM", "9dOrsJ2rR38"),
    ("4I98SqgIETM", "Sf2CGwJISSw"),

52) ("Rfir7iQOE-c", "AWjJu701qzM"),
    ("Rfir7iQOE-c", "Pe3uTz-hxqo"),
    ("Rfir7iQOE-c", "fJLu4WknoxI"),
    ("Rfir7iQOE-c", "y-34-bAKgU8"),
    ("Rfir7iQOE-c", "HuCZ6-A5gcY"),
    ("Rfir7iQOE-c", "BCFH2n-Op_I"),
    ("Rfir7iQOE-c", "IQJL3htsDyQ"),
    ("Rfir7iQOE-c", "itHQvuWYQEw"),
    ("Rfir7iQOE-c", "cIY95KCnnNk"),
    ("Rfir7iQOE-c", "eZh6ZDcc9SY"),

53) ("_He5Bz9cHLY", "LLRM33MU-UU"),
    ("_He5Bz9cHLY", "rOIjKmVfj5k"),
    ("_He5Bz9cHLY", "VqjdaQkt0bM"),
    ("_He5Bz9cHLY", "L5fXbIsRR7A"),
    ("_He5Bz9cHLY", "w22ihx6V0K4"),
    ("_He5Bz9cHLY", "GYIOD1g4Eic"),
    ("_He5Bz9cHLY", "v9B_bvrJbJE"),
    ("_He5Bz9cHLY", "330h0YM55qc"),
    ("_He5Bz9cHLY", "5pjOGBNWzkc"),
    ("_He5Bz9cHLY", "hTtt58rJJys"),
After Insert, Manual_VIDEO_LINKS: 438

Teammates volunteered to gather more video_ids to help get tuples into the table
______ADAM__3/17/25_________
        PARENT     |   SUGGESTED
54) ("O3je86geH2Q", "WBDBVUwBYIA"),
    ("O3je86geH2Q", "23FsA_Nileo"),
    ("O3je86geH2Q", "Ua_a1AS20AM"),
    ("O3je86geH2Q", "WkWORopX26o"),
    ("O3je86geH2Q", "ix8b8rAnefE"),
    ("O3je86geH2Q", "FQBw-fE4w40"),
    ("O3je86geH2Q", "yLEkmfYg5bM"),
    ("O3je86geH2Q", "lE9dYGzs3RQ"),
    ("O3je86geH2Q", "Au0LBowb_pM"),
